make,model,year,fuel,hp,cylinders,transmission,drive,doors,size,style,highway_mpg,city_mpg,popularity,price
Mitsubishi,Expo,1995,regular unleaded,136.0,4.0,AUTOMATIC,front wheel drive,4.0,Compact,4dr Hatchback,24,18,436,2000
Subaru,Impreza WRX,2013,premium unleaded (required),265.0,4.0,MANUAL,all wheel drive,4.0,Compact,Sedan,25,19,640,25795
Infiniti,G Convertible,2011,premium unleaded (required),325.0,6.0,AUTOMATIC,rear wheel drive,2.0,Midsize,Convertible,25,17,190,58000
Volkswagen,Fox,1993,regular unleaded,81.0,4.0,MANUAL,front wheel drive,2.0,Compact,Coupe,30,22,873,2000
Chevrolet,Sonic,2015,regular unleaded,138.0,4.0,MANUAL,front wheel drive,4.0,Compact,4dr Hatchback,40,29,1385,18835
Ford,Explorer,2016,flex-fuel (unleaded/E85),290.0,6.0,AUTOMATIC,all wheel drive,4.0,Midsize,4dr SUV,23,16,5657,35400
Chevrolet,Equinox,2017,regular unleaded,182.0,4.0,AUTOMATIC,all wheel drive,4.0,Compact,4dr SUV,28,20,1385,31790
Cadillac,XT5,2017,premium unleaded (required),310.0,6.0,AUTOMATIC,all wheel drive,4.0,Midsize,4dr SUV,26,18,1624,62500
Dodge,Stratus,2006,regular unleaded,150.0,4.0,AUTOMATIC,front wheel drive,4.0,Midsize,Sedan,27,20,1851,20825
Dodge,Grand Caravan,2017,regular unleaded,283.0,6.0,AUTOMATIC,front wheel drive,4.0,Midsize,Passenger Minivan,25,17,1851,23995
Volkswagen,Passat,2016,regular unleaded,170.0,4.0,AUTOMATIC,front wheel drive,4.0,Midsize,Sedan,38,25,873,30495
Ford,Windstar,2001,regular unleaded,200.0,6.0,AUTOMATIC,front wheel drive,4.0,Midsize,Passenger Minivan,22,16,5657,25000
Chevrolet,Impala Limited,2015,flex-fuel (unleaded/E85),300.0,6.0,AUTOMATIC,front wheel drive,4.0,Large,Sedan,30,18,1385,25830
Honda,Civic,2015,regular unleaded,143.0,4.0,AUTOMATIC,front wheel drive,2.0,Compact,Coupe,39,30,2202,19090
Toyota,ECHO,2004,regular unleaded,108.0,4.0,AUTOMATIC,front wheel drive,4.0,Compact,Sedan,36,28,2031,11685
Ford,Freestar,2007,regular unleaded,201.0,6.0,AUTOMATIC,front wheel drive,4.0,Midsize,Cargo Minivan,21,15,5657,19700
Ford,Five Hundred,2006,regular unleaded,203.0,6.0,AUTOMATIC,all wheel drive,4.0,Large,Sedan,23,17,5657,28230
Dodge,Caravan,2005,regular unleaded,150.0,4.0,AUTOMATIC,front wheel drive,4.0,Large,Passenger Minivan,24,17,1851,18380
Rolls-Royce,Ghost,2013,premium unleaded (required),563.0,12.0,AUTOMATIC,rear wheel drive,4.0,Large,Sedan,21,13,86,256650
Chevrolet,Cobalt,2010,regular unleaded,155.0,4.0,MANUAL,front wheel drive,2.0,Compact,Coupe,37,25,1385,15670
Ford,LTD Crown Victoria,1990,regular unleaded,150.0,8.0,AUTOMATIC,rear wheel drive,4.0,Large,Sedan,22,15,5657,2000
Mercedes-Benz,Maybach,2017,premium unleaded (required),523.0,12.0,AUTOMATIC,rear wheel drive,4.0,Large,Sedan,21,13,617,191300
Cadillac,ATS,2016,premium unleaded (recommended),272.0,4.0,AUTOMATIC,all wheel drive,4.0,Midsize,Sedan,30,22,1624,41340
Nissan,Frontier,2017,regular unleaded,261.0,6.0,AUTOMATIC,four wheel drive,4.0,Compact,Extended Cab Pickup,21,15,2009,27320
Ford,F-150,2016,flex-fuel (unleaded/E85),282.0,6.0,AUTOMATIC,four wheel drive,4.0,Large,Crew Cab Pickup,23,17,5657,40635
Cadillac,DeVille,2003,regular unleaded,275.0,8.0,AUTOMATIC,front wheel drive,4.0,Large,Sedan,25,16,1624,44400
Subaru,Legacy,2016,regular unleaded,175.0,4.0,AUTOMATIC,all wheel drive,4.0,Midsize,Sedan,36,26,640,24145
Dodge,RAM 150,1993,regular unleaded,230.0,8.0,MANUAL,four wheel drive,2.0,Large,Extended Cab Pickup,15,12,1851,2008
Chevrolet,S-10,2003,regular unleaded,190.0,6.0,AUTOMATIC,four wheel drive,4.0,Compact,Crew Cab Pickup,18,14,1385,24370
Chevrolet,Malibu Maxx,2007,regular unleaded,217.0,6.0,AUTOMATIC,front wheel drive,4.0,Midsize,4dr Hatchback,28,18,1385,23915
Chevrolet,Colorado,2015,regular unleaded,200.0,4.0,AUTOMATIC,rear wheel drive,4.0,Compact,Extended Cab Pickup,27,20,1385,27630
Volkswagen,Jetta SportWagen,2014,diesel,140.0,4.0,AUTOMATED_MANUAL,front wheel drive,4.0,Compact,Wagon,39,29,873,30265
Acura,Integra,2000,regular unleaded,140.0,4.0,MANUAL,front wheel drive,4.0,Compact,Sedan,28,22,204,3222
Chevrolet,Sonic,2016,regular unleaded,138.0,4.0,AUTOMATIC,front wheel drive,4.0,Compact,4dr Hatchback,33,25,1385,21495
Suzuki,Kizashi,2011,regular unleaded,185.0,4.0,MANUAL,front wheel drive,4.0,Midsize,Sedan,29,20,481,23049
Aston Martin,V12 Vantage S,2016,premium unleaded (required),565.0,12.0,AUTOMATED_MANUAL,rear wheel drive,2.0,Compact,Coupe,18,12,259,183695
Acura,TL,2014,premium unleaded (recommended),280.0,6.0,AUTOMATIC,front wheel drive,4.0,Midsize,Sedan,29,20,204,39760
Honda,Civic,2017,regular unleaded,174.0,4.0,AUTOMATIC,front wheel drive,4.0,Compact,4dr Hatchback,40,31,2202,22800
Toyota,Pickup,1995,regular unleaded,116.0,4.0,MANUAL,rear wheel drive,2.0,Compact,Extended Cab Pickup,25,19,2031,2197
Chevrolet,Spark EV,2016,electric,140.0,0.0,DIRECT_DRIVE,front wheel drive,4.0,Compact,4dr Hatchback,109,128,1385,25120
Dodge,Dakota,2009,regular unleaded,210.0,6.0,MANUAL,rear wheel drive,4.0,Compact,Crew Cab Pickup,20,16,1851,25260
Chrysler,Sebring,2008,regular unleaded,173.0,4.0,AUTOMATIC,front wheel drive,4.0,Midsize,Sedan,30,21,1013,20865
Mercedes-Benz,S-Class,2015,premium unleaded (required),577.0,8.0,AUTOMATIC,all wheel drive,2.0,Large,Coupe,23,15,617,160900
Acura,Legend,1993,regular unleaded,200.0,6.0,MANUAL,front wheel drive,4.0,Midsize,Sedan,23,15,204,2000
Ford,Flex,2015,regular unleaded,287.0,6.0,AUTOMATIC,front wheel drive,4.0,Large,Wagon,25,18,5657,37700
Subaru,Impreza,2016,regular unleaded,148.0,4.0,MANUAL,all wheel drive,4.0,Compact,4dr Hatchback,33,24,640,21095
Ford,E-Series Wagon,2014,flex-fuel (unleaded/E85),255.0,8.0,AUTOMATIC,rear wheel drive,3.0,Midsize,Passenger Van,15,11,5657,33560
Infiniti,QX4,2002,premium unleaded (required),240.0,6.0,AUTOMATIC,four wheel drive,4.0,Midsize,4dr SUV,17,13,190,35550
Infiniti,QX70,2016,premium unleaded (required),325.0,6.0,AUTOMATIC,rear wheel drive,4.0,Midsize,4dr SUV,24,17,190,45850
Acura,TLX,2016,premium unleaded (recommended),206.0,4.0,AUTOMATED_MANUAL,front wheel drive,4.0,Midsize,Sedan,35,24,204,31695
Chevrolet,Impala Limited,2014,flex-fuel (unleaded/E85),300.0,6.0,AUTOMATIC,front wheel drive,4.0,Large,Sedan,30,18,1385,30535
Toyota,Highlander,2015,regular unleaded,270.0,6.0,AUTOMATIC,all wheel drive,4.0,Midsize,4dr SUV,24,18,2031,34750
Mercedes-Benz,500-Class,1993,regular unleaded,315.0,8.0,AUTOMATIC,rear wheel drive,4.0,Midsize,Sedan,18,14,617,3613
Dodge,Ram Pickup 1500,2008,regular unleaded,215.0,6.0,MANUAL,rear wheel drive,4.0,Large,Crew Cab Pickup,19,16,1851,26320
Oldsmobile,LSS,1998,regular unleaded,240.0,6.0,AUTOMATIC,front wheel drive,4.0,Large,Sedan,25,16,26,2444
Hyundai,Santa Fe,2015,regular unleaded,290.0,6.0,AUTOMATIC,front wheel drive,4.0,Midsize,4dr SUV,25,18,1439,30150
Mazda,Tribute,2011,regular unleaded,171.0,4.0,AUTOMATIC,all wheel drive,4.0,Compact,4dr SUV,26,20,586,27455
Chevrolet,Silverado 1500,2017,regular unleaded,355.0,8.0,AUTOMATIC,rear wheel drive,4.0,Large,Crew Cab Pickup,22,16,1385,51650
Volvo,S60,2015,regular unleaded,240.0,4.0,AUTOMATIC,front wheel drive,4.0,Midsize,Sedan,37,25,870,33300
Bentley,Arnage,2007,premium unleaded (required),450.0,8.0,AUTOMATIC,rear wheel drive,4.0,Large,Sedan,15,10,520,221990
Scion,FR-S,2015,premium unleaded (required),200.0,4.0,MANUAL,rear wheel drive,2.0,Compact,Coupe,30,22,105,29990
Pontiac,Firebird,2000,regular unleaded,305.0,8.0,UNKNOWN,rear wheel drive,2.0,Midsize,2dr Hatchback,23,15,210,6175
Toyota,Corolla,2015,regular unleaded,132.0,4.0,AUTOMATIC,front wheel drive,4.0,Compact,Sedan,36,27,2031,17550
Mitsubishi,Outlander Sport,2017,regular unleaded,168.0,4.0,AUTOMATIC,front wheel drive,4.0,Compact,4dr SUV,28,23,436,22695
Lincoln,MKC,2016,regular unleaded,240.0,4.0,AUTOMATIC,all wheel drive,4.0,Compact,4dr SUV,26,19,61,48950
Kia,K900,2015,premium unleaded (recommended),420.0,8.0,AUTOMATIC,rear wheel drive,4.0,Large,Sedan,23,15,1720,59900
Chevrolet,Trax,2015,regular unleaded,138.0,4.0,AUTOMATIC,all wheel drive,4.0,Compact,4dr SUV,31,24,1385,21540
Lincoln,MKZ,2017,premium unleaded (recommended),245.0,4.0,AUTOMATIC,all wheel drive,4.0,Midsize,Sedan,28,20,61,41400
Infiniti,G Coupe,2012,premium unleaded (recommended),330.0,6.0,AUTOMATIC,all wheel drive,2.0,Midsize,Coupe,25,18,190,40900
Chrysler,Town and Country,2016,flex-fuel (unleaded/E85),283.0,6.0,AUTOMATIC,front wheel drive,4.0,Midsize,Passenger Minivan,25,17,1013,37345
BMW,3 Series,2015,premium unleaded (required),180.0,4.0,AUTOMATIC,all wheel drive,4.0,Midsize,Sedan,35,23,3916,34950
Mercedes-Benz,E-Class,2015,premium unleaded (required),302.0,6.0,AUTOMATIC,all wheel drive,4.0,Midsize,Sedan,28,20,617,54800
Toyota,Matrix,2013,regular unleaded,158.0,4.0,AUTOMATIC,front wheel drive,4.0,Compact,4dr Hatchback,29,21,2031,21455
Chevrolet,Silverado 1500,2017,regular unleaded,355.0,8.0,AUTOMATIC,four wheel drive,4.0,Large,Extended Cab Pickup,20,15,1385,44815
Ford,F-150,2016,flex-fuel (unleaded/E85),385.0,8.0,AUTOMATIC,four wheel drive,4.0,Large,Crew Cab Pickup,21,15,5657,42425
Honda,Civic,2017,regular unleaded,174.0,4.0,AUTOMATIC,front wheel drive,2.0,Compact,Coupe,40,31,2202,26225
GMC,Envoy XL,2005,regular unleaded,275.0,6.0,AUTOMATIC,four wheel drive,4.0,Large,4dr SUV,17,12,549,36060
Kia,Soul,2016,regular unleaded,130.0,4.0,MANUAL,front wheel drive,4.0,Compact,Wagon,30,24,1720,15900
Infiniti,Q60 Convertible,2014,premium unleaded (recommended),325.0,6.0,MANUAL,rear wheel drive,2.0,Midsize,Convertible,24,16,190,53400
Chevrolet,Metro,2000,regular unleaded,79.0,4.0,MANUAL,front wheel drive,2.0,Compact,2dr Hatchback,38,31,1385,2000
Mercedes-Benz,R-Class,2012,diesel,210.0,6.0,AUTOMATIC,all wheel drive,4.0,Large,Wagon,23,18,617,53840
Chevrolet,Silverado 1500,2016,flex-fuel (unleaded/E85),285.0,6.0,AUTOMATIC,four wheel drive,2.0,Large,Regular Cab Pickup,22,17,1385,31335
Hyundai,XG350,2003,regular unleaded,194.0,6.0,AUTOMATIC,front wheel drive,4.0,Midsize,Sedan,24,15,1439,25599
Cadillac,ATS Coupe,2016,regular unleaded,335.0,6.0,AUTOMATIC,all wheel drive,2.0,Compact,Coupe,28,19,1624,50675
Lincoln,Mark VIII,1998,regular unleaded,280.0,8.0,AUTOMATIC,rear wheel drive,2.0,Large,Coupe,24,15,61,2411
Infiniti,FX50,2010,premium unleaded (required),390.0,8.0,AUTOMATIC,all wheel drive,4.0,Midsize,4dr SUV,20,14,190,59000
Audi,100,1992,regular unleaded,172.0,6.0,MANUAL,all wheel drive,4.0,Midsize,Sedan,21,16,3105,2000
Toyota,ECHO,2005,regular unleaded,108.0,4.0,MANUAL,front wheel drive,2.0,Compact,Coupe,38,30,2031,10455
Cadillac,Escalade,2017,premium unleaded (recommended),420.0,8.0,AUTOMATIC,four wheel drive,4.0,Large,4dr SUV,20,15,1624,75995
BMW,2 Series,2017,premium unleaded (recommended),248.0,4.0,AUTOMATIC,rear wheel drive,2.0,Compact,Convertible,34,23,3916,38950
Chevrolet,HHR,2011,flex-fuel (unleaded/E85),155.0,4.0,MANUAL,front wheel drive,4.0,Compact,Wagon,32,22,1385,19720
Subaru,XV Crosstrek,2013,regular unleaded,148.0,4.0,AUTOMATIC,all wheel drive,4.0,Compact,4dr SUV,33,25,640,24495
Chevrolet,Venture,2004,regular unleaded,185.0,6.0,AUTOMATIC,front wheel drive,4.0,Compact,Passenger Minivan,24,17,1385,21475
Porsche,911,2015,premium unleaded (required),430.0,6.0,MANUAL,all wheel drive,2.0,Compact,Convertible,25,18,1715,132800
BMW,M6,2015,premium unleaded (required),560.0,8.0,AUTOMATED_MANUAL,rear wheel drive,2.0,Midsize,Coupe,20,14,3916,111900
Toyota,Prius c,2014,regular unleaded,99.0,4.0,AUTOMATIC,front wheel drive,4.0,Compact,4dr Hatchback,46,53,2031,19080
Mitsubishi,Outlander,2017,regular unleaded,166.0,4.0,AUTOMATIC,all wheel drive,4.0,Midsize,4dr SUV,29,24,436,24995
Nissan,Leaf,2016,electric,253.21666853869482,0.0,DIRECT_DRIVE,front wheel drive,4.0,Compact,4dr Hatchback,101,124,2009,34200
Chevrolet,Colorado,2012,regular unleaded,242.0,5.0,AUTOMATIC,four wheel drive,4.0,Compact,Crew Cab Pickup,21,16,1385,28460
Mercedes-Benz,500-Class,1993,regular unleaded,315.0,8.0,AUTOMATIC,rear wheel drive,2.0,Large,Coupe,16,12,617,3176
Mazda,CX-3,2016,regular unleaded,146.0,4.0,AUTOMATIC,all wheel drive,4.0,Compact,4dr SUV,32,27,586,26240
Honda,Crosstour,2014,regular unleaded,278.0,6.0,AUTOMATIC,all wheel drive,4.0,Midsize,4dr Hatchback,28,19,2202,37240
Bentley,Arnage,2009,premium unleaded (required),450.0,8.0,AUTOMATIC,rear wheel drive,4.0,Large,Sedan,15,9,520,267990
BMW,3 Series,2016,premium unleaded (required),180.0,4.0,AUTOMATIC,rear wheel drive,4.0,Midsize,Sedan,36,24,3916,33150
Subaru,BRZ,2016,premium unleaded (required),200.0,4.0,MANUAL,rear wheel drive,2.0,Compact,Coupe,30,22,640,27690
Honda,Civic CRX,1991,regular unleaded,92.0,4.0,MANUAL,front wheel drive,2.0,Compact,2dr Hatchback,33,27,2202,2000
Mazda,CX-5,2016,regular unleaded,184.0,4.0,AUTOMATIC,all wheel drive,4.0,Midsize,4dr SUV,30,24,586,24895
Volkswagen,Golf GTI,2015,premium unleaded (recommended),210.0,4.0,AUTOMATED_MANUAL,front wheel drive,4.0,Compact,4dr Hatchback,33,25,873,31145
Mazda,2,2014,regular unleaded,100.0,4.0,AUTOMATIC,front wheel drive,4.0,Compact,4dr Hatchback,34,28,586,15560
GMC,Terrain,2016,regular unleaded,182.0,4.0,AUTOMATIC,front wheel drive,4.0,Compact,4dr SUV,32,22,549,26800
Ford,Focus,2017,flex-fuel (unleaded/E85),160.0,4.0,MANUAL,front wheel drive,4.0,Compact,Sedan,36,26,5657,16775
Suzuki,Forenza,2008,regular unleaded,127.0,4.0,MANUAL,front wheel drive,4.0,Compact,Sedan,28,20,481,14489
Lexus,GS 350,2017,premium unleaded (required),311.0,6.0,AUTOMATIC,rear wheel drive,4.0,Midsize,Sedan,27,19,454,54810
Dodge,Dakota,2008,regular unleaded,210.0,6.0,MANUAL,four wheel drive,4.0,Compact,Extended Cab Pickup,19,15,1851,24720
Ford,Freestar,2007,regular unleaded,201.0,6.0,AUTOMATIC,front wheel drive,4.0,Midsize,Passenger Minivan,21,15,5657,29575
GMC,Sierra 1500,2015,regular unleaded,355.0,8.0,AUTOMATIC,rear wheel drive,4.0,Large,Crew Cab Pickup,23,16,549,49965
Buick,Enclave,2015,regular unleaded,288.0,6.0,AUTOMATIC,front wheel drive,4.0,Midsize,4dr SUV,24,17,155,39050
Ford,Focus,2015,flex-fuel (unleaded/E85),160.0,4.0,MANUAL,front wheel drive,4.0,Compact,4dr Hatchback,36,26,5657,18960
Pontiac,Sunbird,1993,regular unleaded,110.0,4.0,MANUAL,front wheel drive,2.0,Compact,Coupe,32,22,210,2000
Dodge,Dakota,2009,regular unleaded,210.0,6.0,AUTOMATIC,four wheel drive,4.0,Compact,Crew Cab Pickup,18,14,1851,31045
Toyota,RAV4,2016,regular unleaded,176.0,4.0,AUTOMATIC,front wheel drive,4.0,Midsize,4dr SUV,31,24,2031,26270
Infiniti,G37,2009,premium unleaded (required),325.0,6.0,MANUAL,rear wheel drive,2.0,Midsize,Convertible,24,16,190,43900
Lotus,Exige,2011,premium unleaded (recommended),257.0,4.0,MANUAL,rear wheel drive,2.0,Compact,Coupe,26,20,613,74950
Ford,F-250,1999,regular unleaded,220.0,8.0,AUTOMATIC,rear wheel drive,4.0,Large,Extended Cab Pickup,17,12,5657,3752
Dodge,Ram Pickup 1500,2010,flex-fuel (unleaded/E85),310.0,8.0,AUTOMATIC,four wheel drive,4.0,Large,Crew Cab Pickup,18,13,1851,34240
Chevrolet,Tahoe Hybrid,2012,regular unleaded,332.0,8.0,AUTOMATIC,rear wheel drive,4.0,Large,4dr SUV,23,20,1385,51970
GMC,Sierra 1500 Hybrid,2011,regular unleaded,332.0,8.0,AUTOMATIC,rear wheel drive,4.0,Large,Crew Cab Pickup,23,20,549,39095
Mazda,CX-7,2012,premium unleaded (recommended),244.0,4.0,AUTOMATIC,all wheel drive,4.0,Midsize,4dr SUV,21,17,586,28155
GMC,Sonoma,2002,flex-fuel (unleaded/E85),120.0,4.0,AUTOMATIC,rear wheel drive,2.0,Compact,Regular Cab Pickup,23,17,549,15093
Ferrari,458 Italia,2014,premium unleaded (required),562.0,8.0,AUTOMATED_MANUAL,rear wheel drive,2.0,Compact,Convertible,17,13,2774,257412
Toyota,Prius v,2017,regular unleaded,134.0,4.0,AUTOMATIC,front wheel drive,4.0,Midsize,Wagon,39,43,2031,30935
Buick,Encore,2017,regular unleaded,138.0,4.0,AUTOMATIC,all wheel drive,4.0,Compact,4dr SUV,30,24,155,30565
Toyota,Prius v,2016,regular unleaded,134.0,4.0,AUTOMATIC,front wheel drive,4.0,Midsize,Wagon,40,44,2031,28060
Ford,Transit Connect,2017,flex-fuel (unleaded/E85),169.0,4.0,AUTOMATIC,front wheel drive,4.0,Compact,Passenger Minivan,27,19,5657,30215
Lamborghini,Gallardo,2013,premium unleaded (required),560.0,10.0,AUTOMATED_MANUAL,all wheel drive,2.0,Compact,Coupe,20,13,1158,202000
Cadillac,Eldorado,2002,regular unleaded,300.0,8.0,AUTOMATIC,front wheel drive,2.0,Large,Coupe,25,16,1624,47660
Toyota,Corolla,2015,regular unleaded,132.0,4.0,MANUAL,front wheel drive,4.0,Compact,Sedan,37,28,2031,21495
Pontiac,6000,1990,regular unleaded,140.0,6.0,AUTOMATIC,all wheel drive,4.0,Midsize,Sedan,27,17,210,2000
Subaru,Impreza,2017,regular unleaded,152.0,4.0,AUTOMATIC,all wheel drive,4.0,Midsize,Sedan,38,28,640,24095
Chevrolet,Blazer,2003,regular unleaded,190.0,6.0,MANUAL,rear wheel drive,2.0,Compact,2dr SUV,20,14,1385,22845
Subaru,Forester,2017,regular unleaded,170.0,4.0,AUTOMATIC,all wheel drive,4.0,Midsize,4dr SUV,32,26,640,31295
Audi,A3,2016,premium unleaded (recommended),170.0,4.0,AUTOMATED_MANUAL,front wheel drive,2.0,Compact,Convertible,35,24,3105,36600
Mazda,3,2017,regular unleaded,155.0,4.0,AUTOMATIC,front wheel drive,4.0,Compact,4dr Hatchback,37,28,586,20145
Cadillac,DTS,2009,regular unleaded,275.0,8.0,AUTOMATIC,front wheel drive,4.0,Large,Sedan,23,15,1624,49730
Mercedes-Benz,Metris,2016,premium unleaded (recommended),208.0,4.0,AUTOMATIC,rear wheel drive,3.0,Large,Cargo Minivan,24,21,617,28950
Cadillac,ATS Coupe,2016,premium unleaded (recommended),272.0,4.0,AUTOMATIC,all wheel drive,2.0,Compact,Coupe,30,22,1624,44520
Porsche,Cayenne,2016,premium unleaded (required),520.0,8.0,AUTOMATIC,all wheel drive,4.0,Midsize,4dr SUV,21,14,1715,114700
Honda,Civic del Sol,1997,regular unleaded,160.0,4.0,MANUAL,front wheel drive,2.0,Compact,Coupe,27,23,2202,2410
Audi,TT,2016,premium unleaded (recommended),220.0,4.0,AUTOMATED_MANUAL,all wheel drive,2.0,Compact,Coupe,30,23,3105,42900
Audi,A3,2015,premium unleaded (recommended),170.0,4.0,AUTOMATED_MANUAL,front wheel drive,4.0,Compact,Sedan,33,23,3105,32450
Porsche,Panamera,2016,premium unleaded (required),420.0,6.0,AUTOMATED_MANUAL,all wheel drive,4.0,Large,Sedan,27,17,1715,98300
Lamborghini,Gallardo,2014,premium unleaded (required),570.0,10.0,AUTOMATED_MANUAL,all wheel drive,2.0,Compact,Coupe,20,13,1158,256300
Cadillac,Escalade Hybrid,2013,regular unleaded,332.0,8.0,AUTOMATIC,four wheel drive,4.0,Large,4dr SUV,23,20,1624,76975
Chevrolet,Cruze Limited,2016,regular unleaded,138.0,4.0,MANUAL,front wheel drive,4.0,Midsize,Sedan,42,28,1385,20195
Land Rover,Discovery Series II,2001,premium unleaded (required),188.0,8.0,AUTOMATIC,four wheel drive,4.0,Midsize,4dr SUV,16,12,258,33350
Lexus,NX 200t,2016,premium unleaded (required),235.0,4.0,AUTOMATIC,front wheel drive,4.0,Midsize,4dr SUV,28,22,454,37065
Chevrolet,Silverado 1500 Classic,2007,regular unleaded,285.0,8.0,AUTOMATIC,four wheel drive,4.0,Large,Crew Cab Pickup,18,14,1385,29980
Chevrolet,Uplander,2007,regular unleaded,240.0,6.0,AUTOMATIC,front wheel drive,4.0,Midsize,Passenger Minivan,23,16,1385,33050
Ford,Transit Wagon,2015,flex-fuel (unleaded/E85),275.0,6.0,AUTOMATIC,rear wheel drive,3.0,Midsize,Passenger Van,19,14,5657,37570
Nissan,Frontier,2017,regular unleaded,152.0,4.0,AUTOMATIC,rear wheel drive,4.0,Compact,Extended Cab Pickup,22,17,2009,22160
Suzuki,Aerio,2007,regular unleaded,155.0,4.0,AUTOMATIC,front wheel drive,4.0,Compact,Sedan,28,22,481,16199
Volkswagen,Beetle,2016,regular unleaded,170.0,4.0,AUTOMATIC,front wheel drive,2.0,Compact,2dr Hatchback,34,25,873,19795
Honda,CR-V,2014,regular unleaded,185.0,4.0,AUTOMATIC,front wheel drive,4.0,Compact,4dr SUV,31,23,2202,29370
Ford,Explorer,2016,flex-fuel (unleaded/E85),290.0,6.0,AUTOMATIC,all wheel drive,4.0,Midsize,4dr SUV,23,16,5657,33050
Mercedes-Benz,CLA-Class,2016,premium unleaded (required),375.0,4.0,AUTOMATED_MANUAL,all wheel drive,4.0,Midsize,Sedan,31,23,617,49500
Acura,TSX,2014,premium unleaded (recommended),280.0,6.0,AUTOMATIC,front wheel drive,4.0,Midsize,Sedan,28,19,204,39275
Ford,Bronco,1994,regular unleaded,185.0,8.0,MANUAL,four wheel drive,2.0,Midsize,2dr SUV,16,12,5657,2396
BMW,2 Series,2016,premium unleaded (required),240.0,4.0,MANUAL,rear wheel drive,2.0,Compact,Coupe,34,22,3916,32850
Nissan,Versa Note,2015,regular unleaded,109.0,4.0,MANUAL,front wheel drive,4.0,Compact,4dr Hatchback,36,27,2009,14180
Mazda,3,2016,regular unleaded,155.0,4.0,AUTOMATIC,front wheel drive,4.0,Compact,Sedan,41,30,586,21095
Pontiac,Le Mans,1993,regular unleaded,74.0,4.0,MANUAL,front wheel drive,2.0,Compact,Coupe,34,24,210,2000
Hyundai,Accent,2016,regular unleaded,137.0,4.0,MANUAL,front wheel drive,4.0,Compact,Sedan,38,27,1439,14745
Chrysler,Pacifica,2017,regular unleaded,287.0,6.0,AUTOMATIC,front wheel drive,4.0,Midsize,Passenger Minivan,28,18,1013,30495
Toyota,Avalon,2017,regular unleaded,268.0,6.0,AUTOMATIC,front wheel drive,4.0,Midsize,Sedan,30,21,2031,41050
Suzuki,Reno,2008,regular unleaded,127.0,4.0,MANUAL,front wheel drive,4.0,Compact,4dr Hatchback,28,20,481,13839
Infiniti,QX80,2016,premium unleaded (recommended),400.0,8.0,AUTOMATIC,four wheel drive,4.0,Large,4dr SUV,19,13,190,66350
Lexus,RX 400h,2008,premium unleaded (required),268.0,6.0,AUTOMATIC,all wheel drive,4.0,Midsize,4dr SUV,24,26,454,43480
Nissan,Pathfinder,2016,regular unleaded,260.0,6.0,AUTOMATIC,front wheel drive,4.0,Large,4dr SUV,27,20,2009,33150
GMC,Sierra 1500,2017,regular unleaded,355.0,8.0,AUTOMATIC,four wheel drive,4.0,Large,Crew Cab Pickup,22,16,549,47690
Ford,Explorer Sport,2003,regular unleaded,203.0,6.0,MANUAL,rear wheel drive,2.0,Midsize,2dr SUV,20,15,5657,21870
Ford,F-150,2016,flex-fuel (unleaded/E85),385.0,8.0,AUTOMATIC,rear wheel drive,4.0,Large,Crew Cab Pickup,21,15,5657,50050
Chevrolet,Cavalier,2005,regular unleaded,140.0,4.0,MANUAL,front wheel drive,2.0,Compact,Coupe,33,23,1385,16090
Suzuki,Verona,2004,regular unleaded,155.0,6.0,AUTOMATIC,front wheel drive,4.0,Midsize,Sedan,25,17,481,18499
Mercedes-Benz,300-Class,1993,regular unleaded,217.0,6.0,AUTOMATIC,rear wheel drive,2.0,Midsize,Coupe,22,17,617,2397
Ford,Bronco II,1990,regular unleaded,140.0,6.0,MANUAL,rear wheel drive,2.0,Compact,2dr SUV,20,16,5657,2000
Audi,A8,2017,premium unleaded (required),450.0,8.0,AUTOMATIC,all wheel drive,4.0,Large,Sedan,29,18,3105,91500
Hyundai,Sonata,2015,regular unleaded,245.0,4.0,AUTOMATIC,front wheel drive,4.0,Midsize,Sedan,32,23,1439,28575
Cadillac,DTS,2009,regular unleaded,292.0,8.0,AUTOMATIC,front wheel drive,4.0,Large,Sedan,22,15,1624,54230
Chevrolet,Avalanche,2011,flex-fuel (unleaded/E85),320.0,8.0,AUTOMATIC,four wheel drive,4.0,Large,Crew Cab Pickup,21,15,1385,39350
Buick,Century,2004,regular unleaded,175.0,6.0,AUTOMATIC,front wheel drive,4.0,Midsize,Sedan,27,18,155,21815
Aston Martin,V12 Vanquish,2004,premium unleaded (required),460.0,12.0,AUTOMATIC,rear wheel drive,2.0,Compact,Coupe,18,11,259,234260
Nissan,Altima Hybrid,2010,regular unleaded,158.0,4.0,AUTOMATIC,front wheel drive,4.0,Midsize,Sedan,33,35,2009,26780
Ford,F-150,2017,flex-fuel (unleaded/E85),282.0,6.0,AUTOMATIC,rear wheel drive,4.0,Large,Extended Cab Pickup,25,18,5657,34790
Land Rover,Freelander,2005,regular unleaded,174.0,6.0,AUTOMATIC,all wheel drive,2.0,Compact,2dr SUV,19,16,258,26830
Pontiac,Grand Prix,2008,regular unleaded,200.0,6.0,AUTOMATIC,front wheel drive,4.0,Large,Sedan,28,18,210,22210
Volvo,S90,2017,premium unleaded (recommended),250.0,4.0,AUTOMATIC,front wheel drive,4.0,Large,Sedan,34,23,870,50450
